name,price.Ask,date,TSI,age,days,special,keep,defn,play,wing,pase,score,sp,form,stamina,wage,playerId,link,priceSell,Date.Sell,sold?
Samu PaulamÃ¤ki,266220,4/3/2020,5440,19,25,-,2,3,8,7,7,4,3,7,7,828,445771736,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445771736,365000,4/3/2020,Vendido
Andy Murdoch,688088,4/5/2020,6120,19,25,-,1,3,10,3,6,3,2,6,6,2460,445533055,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445533055,440640,3/14/2020,Sin Vender
Samuel Granulles,3000,4/4/2020,1650,19,27,-,1,2,8,4,5,3,4,8,7,444,448488545,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448488545,10500,4/4/2020,Vendido
MÃ¼layim Sevcan,4000000,4/6/2020,20020,19,28,Quick,1,4,13,4,5,5,3,4,7,8004,444770830,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444770830,1752360,1/24/2020,Sin Vender
Rafael Vallejoller,30000,3/31/2020,7240,19,31,-,1,5,7,3,10,2,1,6,7,1188,445427423,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445427423,243000,3/31/2020,Vendido
Tore SÃ¶rensson,7000,4/4/2020,3570,19,31,Quick,1,3,7,6,8,4,2,4,6,636,445417441,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445417441,368000,4/4/2020,Vendido
Petar Å½eÅ¾elj,950000,4/1/2020,10510,19,31,-,1,4,10,5,8,4,5,7,6,2148,445390124,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445390124,969000,3/31/2020,Sin Vender
Emilian Dera,2200050,4/4/2020,11810,19,32,Quick,1,3,11,4,7,3,1,6,7,2484,444882898,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444882898,1632000,3/30/2020,Sin Vender
StanisÅ‚aw Matan,895000,4/6/2020,7260,19,33,-,1,3,10,2,7,4,1,7,7,1764,445336632,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445336632,521000,3/12/2020,Sin Vender
Igor Winklhofer,1850000,4/5/2020,18010,19,33,-,1,4,12,2,6,4,3,6,7,6276,444632175,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444632175,2215000,4/4/2020,Sin Vender
Radim VÄ›rnÃ½,1666667,4/6/2020,7310,19,35,Quick,1,3,10,4,5,4,2,5,7,2412,445339825,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445339825,2000,9/25/2019,Sin Vender
Alojzy GrzegrzÃ³Å‚ka,1935000,4/5/2020,16010,19,35,Quick,1,5,11,1,8,2,1,8,6,3948,444786099,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444786099,1350480,1/27/2020,Sin Vender
Tobias NÃ¶ske,3570000,4/6/2020,27120,19,38,-,1,6,13,6,5,2,4,6,7,7332,444583338,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444583338,3570000,4/6/2020,Vendido
ç¾… (Lo) å‹‡å€« (Yonglun),1000,4/6/2020,1240,19,40,Technical,1,4,7,4,5,4,7,6,6,348,447236151,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447236151,2000,4/6/2020,Vendido
Bert Delahaut,714001,4/6/2020,6470,19,40,Quick,1,5,9,5,7,4,5,6,7,780,446576068,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446576068,714001,4/6/2020,Vendido
NimrÃ³d Harangi,1275000,4/4/2020,9550,19,41,Powerful,1,3,11,3,6,3,5,8,6,2484,445484663,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445484663,1355000,4/3/2020,Sin Vender
Hafberg ÃgÃºstsson,2575000,4/5/2020,15350,19,41,-,1,5,12,4,5,6,1,6,7,4236,444554540,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444554540,2627000,4/4/2020,Sin Vender
Adnan Makdasy,11000,4/5/2020,18280,19,42,-,1,7,11,5,8,3,6,6,6,3948,445354628,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445354628,3225000,4/5/2020,Vendido
Antonio JimÃ©nez Eneas,1250000,4/6/2020,9880,19,43,-,1,3,11,4,7,4,2,5,6,2460,445530649,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445530649,1300500,4/6/2020,Vendido
Dae-Se Gae,9000,4/3/2020,2810,19,44,-,1,3,7,4,7,4,5,7,6,564,449348929,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=449348929,36000,4/3/2020,Vendido
Kim Darquennes,6759000,4/4/2020,36680,19,44,-,1,6,14,3,6,3,3,6,6,12132,444469003,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444469003,6759000,4/4/2020,Vendido
Hossein Amir Mohammadi,574000,4/3/2020,6000,19,44,-,1,3,7,7,8,2,5,7,7,756,444528277,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444528277,300000,3/1/2020,Sin Vender
Krzysztof Zahorski,1200000,3/31/2020,10460,19,44,-,1,2,10,3,8,2,3,8,6,1692,444540034,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444540034,750000,10/18/2019,Sin Vender
Valeriy Kalyazin,1586100,4/6/2020,13990,19,45,-,1,10,9,4,6,3,1,6,6,1356,444696826,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444696826,1651000,4/6/2020,Vendido
Vadim Chesnykh,100000,4/1/2020,2490,19,46,Unpredictable,1,3,7,3,8,4,4,5,6,492,444973180,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444973180,1000,1/6/2020,Sin Vender
AnÃ­bal Carvalho Nascimento,2200000,4/5/2020,19910,19,46,-,1,3,12,3,6,4,1,6,6,5652,444485674,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444485674,2430000,4/4/2020,Sin Vender
Adolf Danielsson,2500000,4/5/2020,9250,19,48,Technical,1,4,8,9,6,5,5,7,6,924,444455338,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444455338,1375000,10/13/2019,Sin Vender
HÃ©ctor Rodolfo Montaldo,3185000,4/3/2020,23930,19,50,Head,1,2,12,6,6,3,2,5,7,5100,444400117,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444400117,3500000,4/3/2020,Vendido
Nebi Sezen,6500879,4/4/2020,37170,19,50,-,1,4,12,7,6,8,3,5,6,5868,444391971,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444391971,6112000,7/7/2019,Sin Vender
Daniel Thierbach,21000,4/6/2020,2070,19,51,-,1,4,7,5,7,3,3,7,6,372,445406080,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445406080,22000,4/6/2020,Vendido
Rafael PÃ©rez Puig,3999999,4/5/2020,18430,19,51,Head,1,8,11,4,6,3,4,8,7,1956,444715687,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444715687,1059780,10/3/2019,Sin Vender
æˆ´ (Dai)  äºšå‡¯ (Yakai),3739000,4/4/2020,24450,19,52,Powerful,2,5,13,3,5,2,6,6,6,6804,444380640,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444380640,3890280,4/4/2020,Vendido
Amadee Heuer,4000000,4/5/2020,26570,19,54,-,1,3,13,3,6,4,7,6,7,6252,444392235,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444392235,1000,7/7/2019,Sin Vender
Tadeusz RÄ…czy,85000,4/5/2020,2400,19,54,Head,1,3,8,4,6,4,1,6,6,564,444696721,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444696721,33000,3/11/2020,Sin Vender
Jasu Kaartti,1650000,4/6/2020,10060,19,54,-,1,2,11,5,6,3,3,6,7,2484,444404801,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444404801,358000,7/9/2019,Sin Vender
Thiago Faria Godoy,1575000,4/6/2020,13040,19,54,Powerful,1,4,11,4,7,3,4,8,7,3252,444558110,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444558110,1434000,3/10/2020,Sin Vender
Hagen Vernickel,375000,4/1/2020,7140,19,55,-,1,4,8,3,9,6,4,4,6,780,444275680,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444275680,383000,4/1/2020,Vendido
Johann Galfano,266000,4/3/2020,5420,19,57,-,1,2,9,5,7,4,2,6,7,1020,444633656,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444633656,438000,4/3/2020,Vendido
Laidon Iljadhi,130000,4/3/2020,1970,19,58,-,1,5,8,4,6,2,3,5,6,636,445625640,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445625640,130000,4/3/2020,Vendido
Anthony Digangi,340000,4/5/2020,5750,19,59,-,2,4,8,5,7,6,4,6,7,804,446985134,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446985134,250000,3/23/2020,Sin Vender
Jabir Amin Sub Laban,1900000,4/4/2020,14120,19,59,-,1,3,11,3,8,3,1,6,7,3564,444306078,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444306078,1450000,2/2/2020,Sin Vender
Ricardo Leoncio Giardina,500000,4/4/2020,5120,19,63,Powerful,1,3,10,4,5,3,4,7,7,828,445674341,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445674341,13000,10/11/2019,Sin Vender
ZenÃ³n EscÃ³bar,100000,4/3/2020,2690,19,63,Powerful,1,2,8,4,8,3,4,2,6,1020,444113400,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444113400,160140,4/2/2020,Sin Vender
Marius-Daniel Cezar,600000,4/4/2020,9070,19,63,Head,1,3,8,3,9,4,4,7,7,900,444413965,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444413965,612000,4/3/2020,Sin Vender
Alberto Moroni,459000,4/6/2020,5150,19,64,-,1,3,11,4,5,4,2,2,7,3324,444174157,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444174157,770000,4/6/2020,Vendido
Jari Vaakanainen,1625000,4/5/2020,12580,19,64,-,1,2,11,4,8,5,2,5,7,3516,444846812,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444846812,1658000,4/4/2020,Sin Vender
Riccardo Latina,250000,4/3/2020,2360,19,66,-,1,4,8,5,6,4,5,5,6,684,444165346,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444165346,25000,10/31/2019,Sin Vender
Roberto BeleÃ±o,1500000,4/3/2020,4900,19,66,Technical,1,2,9,5,8,2,1,5,7,564,444276925,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444276925,29000,1/7/2020,Sin Vender
Rastko BanaÅ¡eviÄ‡,879240,4/5/2020,13740,19,66,-,1,4,11,3,5,6,5,7,9,3540,444269852,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444269852,1101600,11/9/2019,Sin Vender
Edmond Schwalben,256000,4/3/2020,6590,19,67,Technical,1,4,8,6,8,4,1,5,7,804,444852722,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444852722,519000,4/3/2020,Vendido
Adrian Colbu,100000,4/3/2020,11080,19,67,-,1,4,10,4,8,4,2,5,7,2436,444125263,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444125263,943500,4/3/2020,Vendido
Erru Vahar,1898220,4/3/2020,14010,19,67,Technical,1,5,12,3,5,4,2,6,6,3636,444622386,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444622386,2513000,4/3/2020,Vendido
Quique Yacher,460020,4/6/2020,3990,19,68,-,1,3,9,7,5,3,1,6,7,660,444732555,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444732555,460020,4/6/2020,Vendido
LluÃ­s Miquel Montull,714000,4/6/2020,8270,19,68,-,1,3,7,6,10,4,1,7,5,588,444618793,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444618793,785000,4/6/2020,Vendido
Tomas Lagerqvist,1000,4/4/2020,4330,19,69,-,1,3,7,4,9,4,2,5,6,540,448831671,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=448831671,131000,4/4/2020,Vendido
AndrÃ¡s Fekete,309000,4/3/2020,5970,19,69,Head,1,3,7,3,8,9,1,2,7,1140,443870569,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443870569,1753380,4/3/2020,Vendido
Aldis Jespers,300000,4/5/2020,6640,19,69,-,1,3,8,4,9,3,1,6,7,1020,445374165,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445374165,187500,9/24/2019,Sin Vender
Cosmin RÄƒducanu,2100000,4/6/2020,20250,19,70,-,1,5,11,5,9,5,3,6,7,2676,444145956,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444145956,1299480,2/1/2020,Sin Vender
Bertrand Adam,14977781,4/5/2020,42100,19,71,Technical,1,3,13,3,8,4,4,8,6,7836,444115935,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444115935,3875000,10/2/2019,Sin Vender
Vesa Kohvakka,300000,3/31/2020,11410,19,72,-,1,3,7,4,10,5,2,8,7,1356,444886982,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444886982,300000,3/31/2020,Vendido
Pierre Revel,51000,4/1/2020,5190,19,72,Technical,1,4,8,3,8,4,4,5,9,708,447581443,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447581443,309000,4/4/2020,Vendido
JosÃ© Henestrosa,32000,4/1/2020,3590,19,72,-,1,6,7,3,8,5,4,2,7,660,445262892,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445262892,114000,3/31/2020,Sin Vender
JÃ¼rgen Roxlau,1593000,4/4/2020,15180,19,72,Technical,1,3,11,3,8,4,1,6,7,3420,443836876,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443836876,1797000,4/3/2020,Sin Vender
Pedro Arcor,4162000,4/6/2020,34490,19,73,-,1,4,13,6,8,3,3,7,6,4740,443859927,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443859927,4246000,4/6/2020,Vendido
Arif Sabirin,3880000,4/5/2020,24180,19,73,Head,1,4,11,5,9,6,2,7,6,4668,444137144,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444137144,1372705,6/25/2019,Sin Vender
Heng Sarith,765000,4/2/2020,4990,19,74,Quick,1,8,7,3,8,4,4,2,7,1020,443822901,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443822901,864000,4/2/2020,Vendido
Gwidon Bednarz,2768000,4/4/2020,21120,19,75,-,2,5,11,3,9,6,2,7,7,3732,443859253,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443859253,2824000,4/3/2020,Sin Vender
James Guinan,1234567,4/4/2020,13950,19,76,-,2,3,11,3,5,6,2,8,6,1932,444746989,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444746989,755000,3/25/2020,Sin Vender
MuhteÅŸem SarÄ±civan,760000,4/2/2020,10600,19,76,Powerful,1,3,9,3,9,6,1,7,6,1164,444167006,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444167006,1201000,4/1/2020,Sin Vender
Sonny Havsteen,200001,4/5/2020,7870,19,77,-,1,2,7,4,10,5,6,5,6,684,446587433,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=446587433,267000,4/4/2020,Sin Vender
Anthony Augugliaro,1490000,4/6/2020,9290,19,78,-,1,10,7,3,6,2,3,7,7,996,445308751,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445308751,691000,2/6/2020,Sin Vender
GastÃ³n Soler,4588000,4/5/2020,22920,19,79,Technical,1,4,13,6,6,5,2,4,6,5028,444137244,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444137244,261000,6/25/2019,Sin Vender
Pascual Vivas,6250000,4/5/2020,25120,19,79,Unpredictable,1,10,11,4,6,2,1,6,6,2148,443818314,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443818314,819060,8/9/2019,Sin Vender
JÃ³natan Bjarnason,592620,4/4/2020,18930,19,79,Powerful,1,3,7,3,12,3,3,7,6,1884,443752188,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443752188,1061820,4/3/2020,Sin Vender
Andis VÄ«manis,3500000,4/5/2020,34630,19,80,-,1,6,12,4,8,4,2,6,7,4452,443909758,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443909758,262000,6/20/2019,Sin Vender
Debray DarÃ­o Cao,900000,4/5/2020,5380,19,80,Powerful,1,3,9,4,6,5,3,7,7,1188,443775664,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443775664,395000,3/24/2020,Sin Vender
Gabriele Cathomas,800000,4/6/2020,8120,19,81,-,1,4,10,5,6,2,7,7,7,2076,444139231,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444139231,583000,1/7/2020,Sin Vender
Libor Å vihovec,1950000,4/5/2020,9710,19,82,Unpredictable,1,2,11,3,6,2,5,7,6,2652,443787522,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443787522,1350000,3/16/2020,Sin Vender
Jorge Luis Marchesi,75000,4/4/2020,3770,19,83,Powerful,1,5,8,4,5,5,3,8,6,396,444952807,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444952807,77000,4/4/2020,Vendido
Wilbert Ringenberg,400000,4/3/2020,4930,19,83,-,1,4,9,3,7,4,1,6,7,780,443835701,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443835701,400000,4/3/2020,Vendido
Johnny Linmo,1885000,4/4/2020,18000,19,83,-,1,3,12,3,6,5,1,4,7,4668,443769099,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443769099,1923000,4/4/2020,Vendido
Wojciech Jeziorny,2500000,4/4/2020,20550,19,84,-,1,3,12,3,7,2,2,8,7,3420,445595204,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445595204,925000,1/5/2020,Sin Vender
Jesse Svensk,204000,4/5/2020,4930,19,85,Unpredictable,1,6,9,3,5,3,8,7,7,588,447176996,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=447176996,525000,4/5/2020,Vendido
Daifilo Meertens,4000000,4/4/2020,21670,19,85,Powerful,1,7,12,3,5,6,2,5,7,7956,443732984,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443732984,4000000,4/4/2020,Vendido
Michele Luzi,898000,4/5/2020,12330,19,85,Technical,1,4,11,4,5,5,1,7,7,1980,444711927,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444711927,673000,3/23/2020,Sin Vender
Andrzej Golba,950000,4/4/2020,9530,19,86,-,1,3,10,4,8,3,2,7,7,1860,443661666,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443661666,429000,1/13/2020,Sin Vender
Robert Flakiewicz,1000000,4/6/2020,8720,19,86,Head,1,2,10,3,8,4,1,7,6,1908,443717823,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443717823,705000,3/12/2020,Sin Vender
Quentin Lin,1260000,4/4/2020,9170,19,87,-,1,4,11,3,6,4,2,6,6,1260,443669031,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443669031,677000,3/24/2020,Sin Vender
NÃ©stor Gallego,2000,4/4/2020,11090,19,87,-,1,2,10,5,9,3,6,5,6,970,443624901,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443624901,1200000,4/3/2020,Sin Vender
JÃ©rÃ©my Poret,243780,4/1/2020,7180,19,88,Head,1,4,10,4,8,3,4,4,7,804,444414289,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444414289,1192000,3/31/2020,Sin Vender
Patrick Jungmann,1750000,4/6/2020,10500,19,89,-,1,10,7,4,7,4,4,6,7,732,443676768,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443676768,1750000,4/6/2020,Vendido
Jackson Sellers,3500000,4/6/2020,29700,19,89,-,1,4,13,3,5,5,5,6,7,6756,443679789,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443679789,1020000,6/2/2019,Sin Vender
Jorge UrquÃ­a,3500000,4/6/2020,16410,19,89,-,1,2,12,4,5,7,5,5,7,3636,443700416,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443700416,1556000,1/7/2020,Sin Vender
Mathias Tornkvist,3000000,4/4/2020,24860,19,89,Head,1,3,13,3,6,3,4,6,7,5292,443736917,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443736917,3922000,4/3/2020,Sin Vender
Gil Schlammes,1100000,4/6/2020,9290,19,91,-,1,5,10,4,8,3,3,5,7,2196,443641264,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443641264,355000,1/7/2020,Sin Vender
Kirill Bobryashov,150000,4/4/2020,4660,19,91,Unpredictable,1,4,9,2,8,3,4,5,7,900,445291417,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445291417,517140,4/3/2020,Sin Vender
RÃ©mi RiviÃ¨re,790000,4/4/2020,7990,19,92,-,1,7,7,3,8,7,3,6,6,684,443866398,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443866398,790000,4/4/2020,Vendido
Justino Hijero,429000,4/1/2020,7890,19,93,Technical,1,6,8,2,9,5,2,6,7,804,444865902,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444865902,833000,3/31/2020,Sin Vender
Loek Huijsmans,2500000,4/4/2020,20570,19,94,-,1,2,12,2,8,3,3,7,7,4140,443665435,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443665435,2500000,4/4/2020,Vendido
Primo Badajoz,1700000,4/5/2020,12320,19,94,Unpredictable,1,2,11,2,8,2,6,6,6,3492,443877665,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443877665,1141000,12/30/2019,Sin Vender
Sean Clark,718000,3/26/2020,10210,19,95,-,1,4,10,5,8,2,2,6,7,1980,443419440,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443419440,799001,4/2/2020,Vendido
Mirko Bisogno,2700000,4/6/2020,19280,19,95,-,1,3,11,2,5,9,4,8,6,1572,443620513,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443620513,224000,5/28/2019,Sin Vender
Mohsen Bakhtar,2500000,4/6/2020,19340,19,96,-,1,7,9,6,10,2,1,5,6,1932,443669699,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443669699,700000,1/4/2020,Sin Vender
JosÃ© Luis ChÃ¡vez,1849999,4/5/2020,13890,19,96,-,1,4,11,4,8,3,3,6,6,1980,445424928,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=445424928,1475000,3/30/2020,Sin Vender
KÃ¡lmÃ¡n ZurÃ³,1909921,4/4/2020,11410,19,96,-,2,4,11,6,7,4,3,5,6,1668,443586150,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443586150,1575000,3/16/2020,Sin Vender
RÃ¼ÅŸtÃ¼ Raik,2925000,4/4/2020,27370,19,96,-,1,9,11,5,7,4,5,8,6,3804,443537501,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443537501,4304400,4/3/2020,Sin Vender
Omar Vidale,480420,3/31/2020,8060,19,98,-,1,3,9,4,8,4,4,6,7,1092,443661470,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443661470,521220,3/31/2020,Vendido
Martijn Geets,2750000,4/3/2020,18170,19,99,-,1,3,12,7,5,4,3,4,7,4404,443560805,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443560805,2750000,4/3/2020,Vendido
JÃºlio Correia,125000,4/3/2020,2860,19,99,-,1,4,9,4,5,3,4,5,6,972,443739636,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443739636,46000,1/7/2020,Sin Vender
Torey Bond,1041000,4/5/2020,13150,19,100,Powerful,1,4,12,5,6,2,1,4,6,2028,443896144,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443896144,2025000,4/5/2020,Vendido
Hussain Umar,1000000,4/4/2020,12900,19,102,Quick,1,6,11,3,5,3,2,6,7,1068,444657384,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444657384,1326000,4/4/2020,Vendido
Elio Calella,2375000,4/6/2020,12110,19,102,-,1,9,10,3,6,4,2,5,7,1236,443505969,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443505969,1313000,2/24/2020,Sin Vender
Adrian-Alexandru TirilÄƒ,2300000,4/6/2020,18740,19,103,-,1,2,12,4,7,4,4,7,7,3708,444728276,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444728276,2300000,4/6/2020,Vendido
å²³ (Yue)  äº‘å¿— (Yunzhi),3050000,4/5/2020,23070,19,103,Powerful,1,5,12,4,7,6,2,5,7,2412,444285223,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444285223,385000,7/2/2019,Sin Vender
Fortunato Venditti,1350000,4/6/2020,12040,19,103,-,1,3,11,3,7,3,2,8,7,2100,443494996,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443494996,400000,11/26/2019,Sin Vender
Max Marin,1750000,4/6/2020,15020,19,104,-,1,4,11,4,8,3,1,7,7,3300,444316127,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444316127,1750000,4/6/2020,Vendido
Benito Malvic,2510000,4/5/2020,17440,19,105,-,1,3,12,6,7,3,3,5,6,1620,444454576,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444454576,1000,7/19/2019,Sin Vender
Mauro Nicolini,4200000,4/6/2020,38410,19,106,Quick,1,3,12,4,10,5,5,7,6,7956,443565769,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443565769,4200000,4/6/2020,Vendido
SÃ©bastian Bonnard,430440,4/4/2020,5270,19,106,Quick,1,4,9,6,8,4,1,2,6,1092,443420243,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443420243,540000,4/3/2020,Sin Vender
Vince Johnson,1900000,4/4/2020,13850,19,106,Quick,1,2,12,4,5,4,6,6,7,2484,443410116,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443410116,1900000,4/3/2020,Sin Vender
Veit Kindermann,2341000,4/6/2020,24130,19,107,Powerful,1,5,11,4,7,8,2,7,8,1092,444827980,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=444827980,2341000,4/6/2020,Vendido
Alexander Shoylev,5199000,4/6/2020,43550,19,107,-,1,7,13,3,8,5,4,7,7,4668,443501424,www.hattrick.org/goto.ashx?path=/Club/Players/Player.aspx?playerId=443501424,5410000,4/6/2020,Vendido
