,0,1,2
2948,Defence,275,625
2949,Attack,275,700
2950,Match plan,Match plan,Match plan
2951,Team attitude,(Hidden),(Hidden)
2952,Tactic,Normal,Normal
2953,Tactic skill,(no tactic),(no tactic)
2954,Style of play,100% Defensive,100% Offensive
2955,Average ratings,Average ratings,Average ratings
2956,Total player experience,275,475
2957,Average midfield,200,450
2958,Average defence,250,1150
2959,Average attack,250,575
2960,Total average,225,725
2961,Midfield,175,525
2962,Right defence,275,1650
2963,Central defence,250,1475
2964,Left defence,250,1650
2965,Right attack,200,500
2966,Central attack,175,450
2967,Left attack,200,700
2968,Indirect set pieces,Indirect set pieces,Indirect set pieces
2969,Defence,275,850
2970,Attack,250,775
2971,Match plan,Match plan,Match plan
2972,Team attitude,(Hidden),(Hidden)
2973,Tactic,Normal,Attack on wings
2974,Tactic skill,(no tactic),14
2975,Style of play,100% Offensive,Neutral
2976,Average ratings,Average ratings,Average ratings
2977,Total player experience,350,475
2978,Average midfield,175,525
2979,Average defence,250,1600
2980,Average attack,200,550
2981,Total average,200,900
2982,Midfield,250,525
2983,Right defence,250,1200
2984,Central defence,275,1325
2985,Left defence,275,1250
2986,Right attack,225,400
2987,Central attack,250,375
2988,Left attack,275,650
2989,Indirect set pieces,Indirect set pieces,Indirect set pieces
2990,Defence,300,900
2991,Attack,300,750
2992,Match plan,Match plan,Match plan
2993,Team attitude,(Hidden),(Hidden)
2994,Tactic,Normal,Normal
2995,Tactic skill,(no tactic),(no tactic)
2996,Style of play,100% Defensive,Neutral
2997,Average ratings,Average ratings,Average ratings
2998,Total player experience,200,425
2999,Average midfield,250,525
3000,Average defence,275,1250
3001,Average attack,250,475
3002,Total average,250,750
3003,Midfield,475,825
3004,Right defence,700,1725
3005,Central defence,750,1925
3006,Left defence,650,1775
3007,Right attack,550,775
3008,Central attack,525,700
3009,Left attack,575,725
3010,Indirect set pieces,Indirect set pieces,Indirect set pieces
3011,Defence,600,950
3012,Attack,525,650
3013,Match plan,Match plan,Match plan
3014,Team attitude,(Hidden),(Hidden)
3015,Tactic,Normal,Normal
3016,Tactic skill,(no tactic),(no tactic)
3017,Style of play,Neutral,Neutral
3018,Average ratings,Average ratings,Average ratings
3019,Total player experience,350,600
3020,Average midfield,475,825
3021,Average defence,700,1800
3022,Average attack,550,725
3023,Total average,575,1125
3024,Midfield,175,575
3025,Right defence,175,575
3026,Central defence,200,700
3027,Left defence,150,625
3028,Right attack,225,500
3029,Central attack,200,700
3030,Left attack,225,575
3031,Indirect set pieces,Indirect set pieces,Indirect set pieces
3032,Defence,250,525
3033,Attack,250,500
3034,Match plan,Match plan,Match plan
3035,Team attitude,(Hidden),(Hidden)
3036,Tactic,Normal,Attack in the Middle
3037,Tactic skill,(no tactic),16
3038,Style of play,100% Offensive,100% Offensive
3039,Average ratings,Average ratings,Average ratings
3040,Total player experience,300,475
3041,Average midfield,175,575
3042,Average defence,175,625
3043,Average attack,225,600
3044,Total average,200,600
3045,Midfield,175,350
3046,Right defence,300,300
3047,Central defence,325,425
3048,Left defence,325,475
3049,Right attack,175,375
3050,Central attack,175,350
3051,Left attack,250,350
3052,Indirect set pieces,Indirect set pieces,Indirect set pieces
3053,Defence,300,450
3054,Attack,275,450
3055,Match plan,Match plan,Match plan
3056,Team attitude,(Hidden),(Hidden)
3057,Tactic,Normal,Normal
3058,Tactic skill,(no tactic),(no tactic)
3059,Style of play,100% Defensive,Neutral
3060,Average ratings,Average ratings,Average ratings
3061,Total player experience,250,350
3062,Average midfield,175,350
3063,Average defence,325,400
3064,Average attack,200,350
3065,Total average,225,375
3066,Midfield,200,625
3067,Right defence,300,1250
3068,Central defence,325,1450
3069,Left defence,275,1175
3070,Right attack,200,375
3071,Central attack,200,475
3072,Left attack,175,575
3073,Indirect set pieces,Indirect set pieces,Indirect set pieces
3074,Defence,275,750
3075,Attack,275,675
3076,Match plan,Match plan,Match plan
3077,Team attitude,(Hidden),(Hidden)
3078,Tactic,Normal,Normal
3079,Tactic skill,(no tactic),(no tactic)
3080,Style of play,100% Defensive,Neutral
3081,Average ratings,Average ratings,Average ratings
3082,Total player experience,225,625
3083,Average midfield,200,625
3084,Average defence,300,1300
3085,Average attack,200,475
3086,Total average,225,800
3087,Midfield,225,875
3088,Right defence,225,1675
3089,Central defence,275,1575
3090,Left defence,225,1500
3091,Right attack,225,475
3092,Central attack,250,700
3093,Left attack,175,425
3094,Indirect set pieces,Indirect set pieces,Indirect set pieces
3095,Defence,250,775
3096,Attack,275,550
3097,Match plan,Match plan,Match plan
3098,Team attitude,(Hidden),(Hidden)
3099,Tactic,Normal,Normal
3100,Tactic skill,(no tactic),(no tactic)
3101,Style of play,100% Defensive,100% Offensive
3102,Average ratings,Average ratings,Average ratings
3103,Total player experience,200,750
3104,Average midfield,225,875
3105,Average defence,250,1575
3106,Average attack,225,525
3107,Total average,225,1000
3108,Midfield,200,775
3109,Right defence,175,1825
3110,Central defence,200,1675
3111,Left defence,200,1125
3112,Right attack,250,600
3113,Central attack,275,650
3114,Left attack,250,800
3115,Indirect set pieces,Indirect set pieces,Indirect set pieces
3116,Defence,275,1075
3117,Attack,300,875
3118,Match plan,Match plan,Match plan
3119,Team attitude,(Hidden),(Hidden)
3120,Tactic,Normal,Normal
3121,Tactic skill,(no tactic),(no tactic)
3122,Style of play,100% Offensive,100% Defensive
3123,Average ratings,Average ratings,Average ratings
3124,Total player experience,250,775
3125,Average midfield,200,775
3126,Average defence,200,1550
3127,Average attack,250,675
3128,Total average,225,1000
3129,Midfield,175,500
3130,Right defence,175,600
3131,Central defence,250,750
3132,Left defence,200,550
3133,Right attack,175,525
3134,Central attack,225,700
3135,Left attack,175,475
3136,Indirect set pieces,Indirect set pieces,Indirect set pieces
3137,Defence,275,675
3138,Attack,275,600
3139,Match plan,Match plan,Match plan
3140,Team attitude,(Hidden),(Hidden)
3141,Tactic,Normal,Normal
3142,Tactic skill,(no tactic),(no tactic)
3143,Style of play,100% Offensive,100% Offensive
3144,Average ratings,Average ratings,Average ratings
3145,Total player experience,250,475
3146,Average midfield,175,500
3147,Average defence,200,625
3148,Average attack,200,575
3149,Total average,200,575
3150,Midfield,200,600
3151,Right defence,200,1050
3152,Central defence,225,800
3153,Left defence,175,1150
3154,Right attack,250,325
3155,Central attack,275,550
3156,Left attack,200,425
3157,Indirect set pieces,Indirect set pieces,Indirect set pieces
3158,Defence,250,575
3159,Attack,300,550
3160,Match plan,Match plan,Match plan
3161,Team attitude,(Hidden),(Hidden)
3162,Tactic,Normal,Normal
3163,Tactic skill,(no tactic),(no tactic)
3164,Style of play,100% Offensive,Neutral
3165,Average ratings,Average ratings,Average ratings
3166,Total player experience,225,750
3167,Average midfield,200,600
3168,Average defence,200,1000
3169,Average attack,250,425
3170,Total average,225,675
3171,Midfield,200,725
3172,Right defence,300,1400
3173,Central defence,300,1375
3174,Left defence,250,1350
3175,Right attack,175,675
3176,Central attack,200,725
3177,Left attack,175,650
3178,Indirect set pieces,Indirect set pieces,Indirect set pieces
3179,Defence,275,1050
3180,Attack,300,1050
3181,Match plan,Match plan,Match plan
3182,Team attitude,(Hidden),(Hidden)
3183,Tactic,Normal,Play creatively
3184,Tactic skill,(no tactic),16
3185,Style of play,100% Defensive,Neutral
3186,Average ratings,Average ratings,Average ratings
3187,Total player experience,200,750
3188,Average midfield,200,725
3189,Average defence,275,1375
3190,Average attack,175,700
3191,Total average,225,925
3192,Midfield,200,625
3193,Right defence,200,925
3194,Central defence,250,1200
3195,Left defence,225,775
3196,Right attack,225,500
3197,Central attack,250,775
3198,Left attack,225,450
3199,Indirect set pieces,Indirect set pieces,Indirect set pieces
3200,Defence,250,750
3201,Attack,275,575
3202,Match plan,Match plan,Match plan
3203,Team attitude,(Hidden),(Hidden)
3204,Tactic,Normal,Normal
3205,Tactic skill,(no tactic),(no tactic)
3206,Style of play,100% Offensive,100% Offensive
3207,Average ratings,Average ratings,Average ratings
3208,Total player experience,250,550
3209,Average midfield,200,625
3210,Average defence,225,975
3211,Average attack,225,575
3212,Total average,225,725
3213,Midfield,200,600
3214,Right defence,250,1875
3215,Central defence,250,3300
3216,Left defence,225,1550
3217,Right attack,175,300
3218,Central attack,125,575
3219,Left attack,225,300
3220,Indirect set pieces,Indirect set pieces,Indirect set pieces
3221,Defence,275,800
3222,Attack,275,550
3223,Match plan,Match plan,Match plan
3224,Team attitude,(Hidden),(Hidden)
3225,Tactic,Normal,Attack in the Middle
3226,Tactic skill,(no tactic),15
3227,Style of play,100% Defensive,100% Defensive
3228,Average ratings,Average ratings,Average ratings
3229,Total player experience,275,750
3230,Average midfield,200,600
3231,Average defence,250,2250
3232,Average attack,175,400
3233,Total average,200,1075
3234,Midfield,175,875
3235,Right defence,200,625
3236,Central defence,200,700
3237,Left defence,175,850
3238,Right attack,225,525
3239,Central attack,250,500
3240,Left attack,250,650
3241,Indirect set pieces,Indirect set pieces,Indirect set pieces
3242,Defence,275,575
3243,Attack,350,600
3244,Match plan,Match plan,Match plan
3245,Team attitude,(Hidden),(Hidden)
3246,Tactic,Normal,Attack in the Middle
3247,Tactic skill,(no tactic),19
3248,Style of play,100% Offensive,100% Defensive
3249,Average ratings,Average ratings,Average ratings
3250,Total player experience,225,700
3251,Average midfield,175,875
3252,Average defence,200,725
3253,Average attack,250,575
3254,Total average,200,725
3255,Midfield,225,625
3256,Right defence,225,1850
3257,Central defence,250,1975
3258,Left defence,250,1600
3259,Right attack,200,300
3260,Central attack,175,375
3261,Left attack,200,450
3262,Indirect set pieces,Indirect set pieces,Indirect set pieces
3263,Defence,250,675
3264,Attack,250,525
3265,Match plan,Match plan,Match plan
3266,Team attitude,(Hidden),(Hidden)
3267,Tactic,Normal,Counter-attacks
3268,Tactic skill,(no tactic),19
3269,Style of play,100% Defensive,100% Defensive
3270,Average ratings,Average ratings,Average ratings
3271,Total player experience,275,525
3272,Average midfield,225,625
3273,Average defence,250,1825
3274,Average attack,200,375
3275,Total average,225,950
3276,Midfield,175,375
3277,Right defence,225,925
3278,Central defence,250,975
3279,Left defence,225,1100
3280,Right attack,200,725
3281,Central attack,200,650
3282,Left attack,225,625
3283,Indirect set pieces,Indirect set pieces,Indirect set pieces
3284,Defence,250,800
3285,Attack,250,725
3286,Match plan,Match plan,Match plan
3287,Team attitude,(Hidden),(Hidden)
3288,Tactic,Normal,Attack in the Middle
3289,Tactic skill,(no tactic),18
3290,Style of play,100% Offensive,Neutral
3291,Average ratings,Average ratings,Average ratings
3292,Total player experience,225,675
3293,Average midfield,175,375
3294,Average defence,225,1000
3295,Average attack,200,675
3296,Total average,200,675
3297,Midfield,175,825
3298,Right defence,225,750
3299,Central defence,250,1325
3300,Left defence,200,750
3301,Right attack,175,625
3302,Central attack,150,1350
3303,Left attack,175,600
3304,Indirect set pieces,Indirect set pieces,Indirect set pieces
3305,Defence,225,775
3306,Attack,275,850
3307,Match plan,Match plan,Match plan
3308,Team attitude,(Hidden),(Hidden)
3309,Tactic,Normal,Attack in the Middle
3310,Tactic skill,(no tactic),23
3311,Style of play,100% Defensive,Neutral
3312,Average ratings,Average ratings,Average ratings
3313,Total player experience,250,800
3314,Average midfield,175,825
3315,Average defence,225,950
3316,Average attack,175,850
3317,Total average,200,875
3318,Midfield,175,575
3319,Right defence,225,975
3320,Central defence,250,1375
3321,Left defence,225,1075
3322,Right attack,175,325
3323,Central attack,150,350
3324,Left attack,175,325
3325,Indirect set pieces,Indirect set pieces,Indirect set pieces
3326,Defence,250,825
3327,Attack,275,575
3328,Match plan,Match plan,Match plan
3329,Team attitude,(Hidden),(Hidden)
3330,Tactic,Normal,Normal
3331,Tactic skill,(no tactic),(no tactic)
3332,Style of play,100% Defensive,100% Offensive
3333,Average ratings,Average ratings,Average ratings
3334,Total player experience,275,575
3335,Average midfield,175,575
3336,Average defence,225,1150
3337,Average attack,175,325
3338,Total average,200,675
3339,Midfield,175,700
3340,Right defence,275,825
3341,Central defence,275,1250
3342,Left defence,225,800
3343,Right attack,225,550
3344,Central attack,200,700
3345,Left attack,200,550
3346,Indirect set pieces,Indirect set pieces,Indirect set pieces
3347,Defence,250,750
3348,Attack,300,675
3349,Match plan,Match plan,Match plan
3350,Team attitude,(Hidden),(Hidden)
3351,Tactic,Normal,Normal
3352,Tactic skill,(no tactic),(no tactic)
3353,Style of play,100% Defensive,100% Offensive
3354,Average ratings,Average ratings,Average ratings
3355,Total player experience,225,825
3356,Average midfield,175,700
3357,Average defence,250,950
3358,Average attack,200,600
3359,Total average,200,750
3360,Midfield,175,875
3361,Right defence,200,300
3362,Central defence,200,425
3363,Left defence,225,275
3364,Right attack,200,425
3365,Central attack,225,775
3366,Left attack,225,425
3367,Indirect set pieces,Indirect set pieces,Indirect set pieces
3368,Defence,250,400
3369,Attack,275,550
3370,Match plan,Match plan,Match plan
3371,Team attitude,(Hidden),(Hidden)
3372,Tactic,Normal,Attack in the Middle
3373,Tactic skill,(no tactic),11
3374,Style of play,100% Offensive,100% Offensive
3375,Average ratings,Average ratings,Average ratings
3376,Total player experience,275,550
3377,Average midfield,175,875
3378,Average defence,200,325
3379,Average attack,225,525
3380,Total average,200,575
3381,Midfield,175,575
3382,Right defence,275,1175
3383,Central defence,275,1425
3384,Left defence,200,1000
3385,Right attack,200,400
3386,Central attack,225,575
3387,Left attack,200,375
3388,Indirect set pieces,Indirect set pieces,Indirect set pieces
3389,Defence,250,625
3390,Attack,275,550
3391,Match plan,Match plan,Match plan
3392,Team attitude,(Hidden),(Hidden)
3393,Tactic,Normal,Normal
3394,Tactic skill,(no tactic),(no tactic)
3395,Style of play,100% Defensive,Neutral
3396,Average ratings,Average ratings,Average ratings
3397,Total player experience,300,500
3398,Average midfield,175,575
3399,Average defence,250,1200
3400,Average attack,200,450
3401,Total average,200,750
3402,Midfield,200,700
3403,Right defence,225,1625
3404,Central defence,225,1325
3405,Left defence,175,1125
3406,Right attack,275,500
3407,Central attack,275,525
3408,Left attack,250,475
3409,Indirect set pieces,Indirect set pieces,Indirect set pieces
3410,Defence,300,700
3411,Attack,350,500
3412,Match plan,Match plan,Match plan
3413,Team attitude,(Hidden),(Hidden)
3414,Tactic,Normal,Normal
3415,Tactic skill,(no tactic),(no tactic)
3416,Style of play,100% Offensive,Neutral
3417,Average ratings,Average ratings,Average ratings
3418,Total player experience,200,800
3419,Average midfield,200,700
3420,Average defence,200,1375
3421,Average attack,275,500
3422,Total average,225,850
3423,Midfield,200,625
3424,Right defence,200,1375
3425,Central defence,225,1250
3426,Left defence,225,1250
3427,Right attack,300,625
3428,Central attack,225,750
3429,Left attack,325,400
3430,Indirect set pieces,Indirect set pieces,Indirect set pieces
3431,Defence,275,750
3432,Attack,325,625
3433,Match plan,Match plan,Match plan
3434,Team attitude,(Hidden),(Hidden)
3435,Tactic,Normal,Normal
3436,Tactic skill,(no tactic),(no tactic)
3437,Style of play,100% Offensive,Neutral
3438,Average ratings,Average ratings,Average ratings
3439,Total player experience,275,575
3440,Average midfield,200,625
3441,Average defence,200,1300
3442,Average attack,275,600
3443,Total average,225,850
3444,Midfield,200,725
3445,Right defence,175,925
3446,Central defence,200,900
3447,Left defence,175,800
3448,Right attack,225,375
3449,Central attack,250,625
3450,Left attack,250,475
3451,Indirect set pieces,Indirect set pieces,Indirect set pieces
3452,Defence,275,675
3453,Attack,325,725
3454,Match plan,Match plan,Match plan
3455,Team attitude,(Hidden),(Hidden)
3456,Tactic,Normal,Normal
3457,Tactic skill,(no tactic),(no tactic)
3458,Style of play,100% Offensive,Neutral
3459,Average ratings,Average ratings,Average ratings
3460,Total player experience,250,600
3461,Average midfield,200,725
3462,Average defence,175,875
3463,Average attack,250,500
3464,Total average,200,700
3465,Midfield,200,425
3466,Right defence,250,1375
3467,Central defence,250,1450
3468,Left defence,225,1325
3469,Right attack,225,550
3470,Central attack,300,450
3471,Left attack,250,525
3472,Indirect set pieces,Indirect set pieces,Indirect set pieces
3473,Defence,275,750
3474,Attack,275,625
3475,Match plan,Match plan,Match plan
3476,Team attitude,(Hidden),(Hidden)
3477,Tactic,Normal,Normal
3478,Tactic skill,(no tactic),(no tactic)
3479,Style of play,100% Offensive,Neutral
3480,Average ratings,Average ratings,Average ratings
3481,Total player experience,225,450
3482,Average midfield,200,425
3483,Average defence,225,1375
3484,Average attack,250,500
3485,Total average,225,775
3486,Midfield,200,525
3487,Right defence,200,1225
3488,Central defence,275,1375
3489,Left defence,225,1150
3490,Right attack,275,625
3491,Central attack,200,925
3492,Left attack,225,650
3493,Indirect set pieces,Indirect set pieces,Indirect set pieces
3494,Defence,250,675
3495,Attack,275,750
3496,Match plan,Match plan,Match plan
3497,Team attitude,(Hidden),(Hidden)
3498,Tactic,Normal,Attack in the Middle
3499,Tactic skill,(no tactic),15
3500,Style of play,100% Defensive,Neutral
3501,Average ratings,Average ratings,Average ratings
3502,Total player experience,225,675
3503,Average midfield,200,525
3504,Average defence,225,1250
3505,Average attack,225,725
3506,Total average,225,825
3507,Midfield,200,400
3508,Right defence,225,1300
3509,Central defence,275,1525
3510,Left defence,350,1175
3511,Right attack,225,450
3512,Central attack,225,425
3513,Left attack,225,425
3514,Indirect set pieces,Indirect set pieces,Indirect set pieces
3515,Defence,275,700
3516,Attack,300,500
3517,Match plan,Match plan,Match plan
3518,Team attitude,(Hidden),(Hidden)
3519,Tactic,Normal,Normal
3520,Tactic skill,(no tactic),(no tactic)
3521,Style of play,100% Defensive,100% Offensive
3522,Average ratings,Average ratings,Average ratings
3523,Total player experience,225,350
3524,Average midfield,200,400
3525,Average defence,300,1325
3526,Average attack,225,425
3527,Total average,250,725
3528,Midfield,175,700
3529,Right defence,225,1125
3530,Central defence,250,1650
3531,Left defence,250,1550
3532,Right attack,200,425
3533,Central attack,200,425
3534,Left attack,175,450
3535,Indirect set pieces,Indirect set pieces,Indirect set pieces
3536,Defence,275,800
3537,Attack,300,525
3538,Match plan,Match plan,Match plan
3539,Team attitude,(Hidden),(Hidden)
3540,Tactic,Normal,Normal
3541,Tactic skill,(no tactic),(no tactic)
3542,Style of play,100% Offensive,Neutral
3543,Average ratings,Average ratings,Average ratings
3544,Total player experience,250,625
3545,Average midfield,175,700
3546,Average defence,250,1450
3547,Average attack,200,425
3548,Total average,200,850
3549,Midfield,175,575
3550,Right defence,250,875
3551,Central defence,350,1225
3552,Left defence,350,1000
3553,Right attack,175,475
3554,Central attack,175,475
3555,Left attack,200,500
3556,Indirect set pieces,Indirect set pieces,Indirect set pieces
3557,Defence,275,575
3558,Attack,300,575
3559,Match plan,Match plan,Match plan
3560,Team attitude,(Hidden),(Hidden)
3561,Tactic,Normal,Play creatively
3562,Tactic skill,(no tactic),16
3563,Style of play,100% Defensive,Neutral
3564,Average ratings,Average ratings,Average ratings
3565,Total player experience,275,625
3566,Average midfield,175,575
3567,Average defence,325,1025
3568,Average attack,175,475
3569,Total average,225,700
3570,Midfield,200,425
3571,Right defence,225,900
3572,Central defence,325,1225
3573,Left defence,275,1000
3574,Right attack,225,325
3575,Central attack,275,650
3576,Left attack,275,400
3577,Indirect set pieces,Indirect set pieces,Indirect set pieces
3578,Defence,300,650
3579,Attack,300,525
3580,Match plan,Match plan,Match plan
3581,Team attitude,(Hidden),(Hidden)
3582,Tactic,Normal,Normal
3583,Tactic skill,(no tactic),(no tactic)
3584,Style of play,100% Offensive,Neutral
3585,Average ratings,Average ratings,Average ratings
3586,Total player experience,275,550
3587,Average midfield,200,425
3588,Average defence,275,1050
3589,Average attack,250,475
3590,Total average,250,650
3591,Midfield,175,750
3592,Right defence,225,1850
3593,Central defence,250,1700
3594,Left defence,200,1400
3595,Right attack,225,500
3596,Central attack,175,750
3597,Left attack,200,525
3598,Indirect set pieces,Indirect set pieces,Indirect set pieces
3599,Defence,275,875
3600,Attack,300,675
3601,Match plan,Match plan,Match plan
3602,Team attitude,(Hidden),(Hidden)
3603,Tactic,Normal,Normal
3604,Tactic skill,(no tactic),(no tactic)
3605,Style of play,100% Defensive,Neutral
3606,Average ratings,Average ratings,Average ratings
3607,Total player experience,225,700
3608,Average midfield,175,750
3609,Average defence,225,1650
3610,Average attack,200,600
3611,Total average,200,1000
3612,Midfield,200,750
3613,Right defence,225,1625
3614,Central defence,275,1625
3615,Left defence,250,1575
3616,Right attack,225,375
3617,Central attack,175,475
3618,Left attack,175,675
3619,Indirect set pieces,Indirect set pieces,Indirect set pieces
3620,Defence,275,800
3621,Attack,300,700
3622,Match plan,Match plan,Match plan
3623,Team attitude,(Hidden),(Hidden)
3624,Tactic,Normal,Normal
3625,Tactic skill,(no tactic),(no tactic)
3626,Style of play,100% Defensive,100% Defensive
3627,Average ratings,Average ratings,Average ratings
3628,Total player experience,275,600
3629,Average midfield,200,750
3630,Average defence,250,1625
3631,Average attack,200,500
3632,Total average,225,950
3633,Midfield,200,625
3634,Right defence,225,1250
3635,Central defence,250,1550
3636,Left defence,250,1275
3637,Right attack,200,725
3638,Central attack,175,525
3639,Left attack,225,725
3640,Indirect set pieces,Indirect set pieces,Indirect set pieces
3641,Defence,250,700
3642,Attack,275,625
3643,Match plan,Match plan,Match plan
3644,Team attitude,(Hidden),(Hidden)
3645,Tactic,Normal,Normal
3646,Tactic skill,(no tactic),(no tactic)
3647,Style of play,100% Defensive,Neutral
3648,Average ratings,Average ratings,Average ratings
3649,Total player experience,250,500
3650,Average midfield,200,625
3651,Average defence,250,1350
3652,Average attack,200,675
3653,Total average,225,875
3654,Midfield,225,175
3655,Right defence,300,850
3656,Central defence,275,950
3657,Left defence,250,1175
3658,Right attack,250,350
3659,Central attack,175,425
3660,Left attack,225,625
3661,Indirect set pieces,Indirect set pieces,Indirect set pieces
3662,Defence,250,625
3663,Attack,225,550
3664,Match plan,Match plan,Match plan
3665,Team attitude,(Hidden),(Hidden)
3666,Tactic,Normal,Counter-attacks
3667,Tactic skill,(no tactic),11
3668,Style of play,100% Defensive,100% Offensive
3669,Average ratings,Average ratings,Average ratings
3670,Total player experience,175,750
3671,Average midfield,225,175
3672,Average defence,275,1000
3673,Average attack,225,475
3674,Total average,250,550
3675,Midfield,200,650
3676,Right defence,250,1650
3677,Central defence,275,1525
3678,Left defence,275,1625
3679,Right attack,200,575
3680,Central attack,150,875
3681,Left attack,200,600
3682,Indirect set pieces,Indirect set pieces,Indirect set pieces
3683,Defence,250,750
3684,Attack,250,750
3685,Match plan,Match plan,Match plan
3686,Team attitude,(Hidden),(Hidden)
3687,Tactic,Normal,Normal
3688,Tactic skill,(no tactic),(no tactic)
3689,Style of play,100% Defensive,Neutral
3690,Average ratings,Average ratings,Average ratings
3691,Total player experience,250,875
3692,Average midfield,200,650
3693,Average defence,275,1600
3694,Average attack,175,675
3695,Total average,225,975
3696,Midfield,200,550
3697,Right defence,225,475
3698,Central defence,250,725
3699,Left defence,200,450
3700,Right attack,175,450
3701,Central attack,175,825
3702,Left attack,250,550
3703,Indirect set pieces,Indirect set pieces,Indirect set pieces
3704,Defence,275,525
3705,Attack,275,625
3706,Match plan,Match plan,Match plan
3707,Team attitude,(Hidden),(Hidden)
3708,Tactic,Normal,Play creatively
3709,Tactic skill,(no tactic),12
3710,Style of play,100% Defensive,100% Offensive
3711,Average ratings,Average ratings,Average ratings
3712,Total player experience,275,575
3713,Average midfield,200,550
3714,Average defence,225,550
3715,Average attack,200,600
3716,Total average,200,575
3717,Midfield,175,550
3718,Right defence,175,1050
3719,Central defence,225,1675
3720,Left defence,175,1650
3721,Right attack,275,425
3722,Central attack,250,750
3723,Left attack,175,575
3724,Indirect set pieces,Indirect set pieces,Indirect set pieces
3725,Defence,275,750
3726,Attack,300,675
3727,Match plan,Match plan,Match plan
3728,Team attitude,(Hidden),(Hidden)
3729,Tactic,Normal,Normal
3730,Tactic skill,(no tactic),(no tactic)
3731,Style of play,100% Offensive,100% Offensive
3732,Average ratings,Average ratings,Average ratings
3733,Total player experience,250,625
3734,Average midfield,175,550
3735,Average defence,175,1450
3736,Average attack,225,575
3737,Total average,200,850
3738,Midfield,175,675
3739,Right defence,200,1350
3740,Central defence,225,1275
3741,Left defence,175,1100
3742,Right attack,200,750
3743,Central attack,225,1025
3744,Left attack,175,475
3745,Indirect set pieces,Indirect set pieces,Indirect set pieces
3746,Defence,250,725
3747,Attack,300,725
3748,Match plan,Match plan,Match plan
3749,Team attitude,(Hidden),(Hidden)
3750,Tactic,Normal,Normal
3751,Tactic skill,(no tactic),(no tactic)
3752,Style of play,100% Offensive,Neutral
3753,Average ratings,Average ratings,Average ratings
3754,Total player experience,275,525
3755,Average midfield,175,675
3756,Average defence,200,1225
3757,Average attack,200,750
3758,Total average,200,875
3759,Midfield,150,425
3760,Right defence,200,450
3761,Central defence,250,750
3762,Left defence,175,850
3763,Right attack,225,575
3764,Central attack,225,1000
3765,Left attack,225,775
3766,Indirect set pieces,Indirect set pieces,Indirect set pieces
3767,Defence,300,625
3768,Attack,300,625
3769,Match plan,Match plan,Match plan
3770,Team attitude,(Hidden),(Hidden)
3771,Tactic,Normal,Play creatively
3772,Tactic skill,(no tactic),14
3773,Style of play,100% Offensive,100% Defensive
3774,Average ratings,Average ratings,Average ratings
3775,Total player experience,350,875
3776,Average midfield,150,425
3777,Average defence,200,675
3778,Average attack,225,775
3779,Total average,200,625
3780,Midfield,175,400
3781,Right defence,275,750
3782,Central defence,325,1125
3783,Left defence,275,650
3784,Right attack,175,375
3785,Central attack,200,525
3786,Left attack,200,250
3787,Indirect set pieces,Indirect set pieces,Indirect set pieces
3788,Defence,250,650
3789,Attack,250,675
3790,Match plan,Match plan,Match plan
3791,Team attitude,(Hidden),(Hidden)
3792,Tactic,Normal,Normal
3793,Tactic skill,(no tactic),(no tactic)
3794,Style of play,100% Defensive,Neutral
3795,Average ratings,Average ratings,Average ratings
3796,Total player experience,375,600
3797,Average midfield,175,400
3798,Average defence,275,850
3799,Average attack,200,375
3800,Total average,225,550
3801,Midfield,225,475
3802,Right defence,175,950
3803,Central defence,200,1600
3804,Left defence,200,1325
3805,Right attack,275,650
3806,Central attack,225,675
3807,Left attack,250,900
3808,Indirect set pieces,Indirect set pieces,Indirect set pieces
3809,Defence,250,800
3810,Attack,250,675
3811,Match plan,Match plan,Match plan
3812,Team attitude,(Hidden),(Hidden)
3813,Tactic,Normal,Normal
3814,Tactic skill,(no tactic),(no tactic)
3815,Style of play,100% Offensive,100% Offensive
3816,Average ratings,Average ratings,Average ratings
3817,Total player experience,250,600
3818,Average midfield,225,475
3819,Average defence,200,1300
3820,Average attack,250,750
3821,Total average,225,850
3822,Midfield,200,450
3823,Right defence,300,725
3824,Central defence,300,1050
3825,Left defence,200,600
3826,Right attack,175,625
3827,Central attack,200,675
3828,Left attack,175,425
3829,Indirect set pieces,Indirect set pieces,Indirect set pieces
3830,Defence,325,525
3831,Attack,350,525
3832,Match plan,Match plan,Match plan
3833,Team attitude,(Hidden),(Hidden)
3834,Tactic,Normal,Normal
3835,Tactic skill,(no tactic),(no tactic)
3836,Style of play,100% Defensive,100% Offensive
3837,Average ratings,Average ratings,Average ratings
3838,Total player experience,250,500
3839,Average midfield,200,450
3840,Average defence,275,800
3841,Average attack,175,575
3842,Total average,225,600
3843,Midfield,175,775
3844,Right defence,175,800
3845,Central defence,200,1075
3846,Left defence,200,825
3847,Right attack,300,350
3848,Central attack,225,525
3849,Left attack,175,350
3850,Indirect set pieces,Indirect set pieces,Indirect set pieces
3851,Defence,250,450
3852,Attack,275,450
3853,Match plan,Match plan,Match plan
3854,Team attitude,(Hidden),(Hidden)
3855,Tactic,Normal,Normal
3856,Tactic skill,(no tactic),(no tactic)
3857,Style of play,100% Offensive,100% Offensive
3858,Average ratings,Average ratings,Average ratings
3859,Total player experience,300,675
3860,Average midfield,175,775
3861,Average defence,200,900
3862,Average attack,225,400
3863,Total average,200,700
